frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"1","0.000000000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"2","0.000046000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"3","0.000451000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"4","0.134388000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"5","0.134492000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"6","0.176330000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"7","0.975651000","DNS","17","192.168.68.126","71.10.216.1",,,"49458","53"
"8","0.976473000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"9","1.047238000","DNS","17","71.10.216.1","192.168.68.126",,,"53","49458"
"10","1.176144000","TCP","6","192.168.68.126","52.24.43.143","49470","443",,
"11","1.195585000","TCP","6","44.238.253.74","192.168.68.126","443","49469",,
"12","1.195694000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"13","1.196549000","TLSv1","6","192.168.68.126","44.238.253.74","49469","443",,
"14","1.376041000","TCP","6","52.24.43.143","192.168.68.126","443","49470",,
"15","1.376047000","TCP","6","44.238.253.74","192.168.68.126","443","49469",,
"16","1.376049000","TLSv1.2","6","44.238.253.74","192.168.68.126","443","49469",,
"17","1.376050000","TLSv1.2","6","44.238.253.74","192.168.68.126","443","49469",,
"18","1.376051000","TLSv1.2","6","44.238.253.74","192.168.68.126","443","49469",,
"19","1.376203000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"20","1.376204000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"21","1.376252000","TCP","6","192.168.68.126","52.24.43.143","49470","443",,
"22","1.392928000","SSDP","17","192.168.68.122","239.255.255.250",,,"60165","1900"
"23","1.393964000","TLSv1.2","6","192.168.68.126","44.238.253.74","49469","443",,
"24","1.467246000","TCP","6","192.168.68.126","52.179.224.121","65215","443",,
"25","1.555503000","TLSv1.2","6","44.238.253.74","192.168.68.126","443","49469",,
"26","1.555580000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"27","1.556473000","TLSv1.2","6","192.168.68.126","44.238.253.74","49469","443",,
"28","1.708656000","TCP","6","52.179.224.121","192.168.68.126","443","65215",,
"29","1.708660000","TLSv1.2","6","44.238.253.74","192.168.68.126","443","49469",,
"30","1.708762000","TCP","6","192.168.68.126","44.238.253.74","49469","443",,
"31","1.708763000","TLSv1.2","6","192.168.68.126","52.179.224.121","65215","443",,
"32","1.714437000","DNS","17","192.168.68.126","71.10.216.1",,,"65268","53"
"33","1.748397000","DNS","17","71.10.216.1","192.168.68.126",,,"53","65268"
"34","1.749415000","TLSv1.2","6","52.179.224.121","192.168.68.126","443","65215",,
"35","1.749626000","TCP","6","192.168.68.126","52.179.224.121","65215","443",,
"36","1.753258000","DNS","17","192.168.68.126","71.10.216.1",,,"55823","53"
"37","1.753373000","DNS","17","192.168.68.126","71.10.216.1",,,"63575","53"
"38","1.753466000","DNS","17","192.168.68.126","71.10.216.1",,,"58439","53"
"39","1.754556000","DNS","17","192.168.68.126","71.10.216.1",,,"54274","53"
"40","1.754681000","DNS","17","192.168.68.126","71.10.216.1",,,"49649","53"
"41","1.755506000","DNS","17","192.168.68.126","71.10.216.1",,,"60032","53"
"42","1.755785000","DNS","17","192.168.68.126","71.10.216.1",,,"62519","53"
"43","1.888680000","DNS","17","71.10.216.1","192.168.68.126",,,"53","58439"
"44","1.888685000","DNS","17","71.10.216.1","192.168.68.126",,,"53","63575"
"45","1.888686000","DNS","17","71.10.216.1","192.168.68.126",,,"53","55823"
"46","1.888687000","DNS","17","71.10.216.1","192.168.68.126",,,"53","60032"
"47","1.888688000","DNS","17","71.10.216.1","192.168.68.126",,,"53","62519"
"48","1.888689000","DNS","17","71.10.216.1","192.168.68.126",,,"53","49649"
"49","1.888690000","DNS","17","71.10.216.1","192.168.68.126",,,"53","54274"
"50","2.009063000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"51","2.417662000","SSDP","17","192.168.68.122","239.255.255.250",,,"60165","1900"
"52","2.519765000","ARP",,,,,,,
"53","2.929383000","ARP",,,,,,,
"54","3.441910000","SSDP","17","192.168.68.122","239.255.255.250",,,"60165","1900"
"55","3.953300000","ARP",,,,,,,
"56","4.159013000","ARP",,,,,,,
"57","4.261183000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"58","4.261187000","MDNS",,,,,,"5353","5353"
"59","4.672122000","MDNS","17","192.168.68.129","224.0.0.251",,,"5353","5353"
"60","4.672126000","MDNS",,,,,,"5353","5353"
"61","4.672686000","MDNS","17","192.168.68.129","224.0.0.251",,,"5353","5353"
"62","4.672689000","MDNS",,,,,,"5353","5353"
"63","4.674438000","LLMNR","17","192.168.68.129","224.0.0.252",,,"50157","5355"
"64","4.772151000","MDNS","17","192.168.68.129","224.0.0.251",,,"5353","5353"
"65","4.977902000","ARP",,,,,,,
"66","5.183155000","ARP",,,,,,,
"67","5.285001000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"68","5.285007000","MDNS",,,,,,"5353","5353"
"69","6.104378000","ARP",,,,,,,
"70","6.104388000","ARP",,,,,,,
"71","6.104485000","ARP",,,,,,,
"72","6.286118000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"73","6.321768000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"74","6.321879000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"75","6.325321000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"76","6.325374000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"77","6.361028000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"78","6.361103000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"79","6.406009000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"80","6.410403000","ARP",,,,,,,
"81","6.442797000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"82","6.442857000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"83","6.493210000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"84","6.493286000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"85","6.547653000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"86","6.547899000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"87","6.549196000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"88","6.615538000","ARP",,,,,,,
"89","6.630538000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"90","7.844936000","ARP",,,,,,,
"91","8.356775000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"92","8.356937000","MDNS",,,,,,"5353","5353"
"93","8.766422000","ARP",,,,,,,
"94","8.970953000","ARP",,,,,,,
"95","9.332033000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"96","9.401220000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"97","9.402453000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"98","9.402542000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"99","9.403095000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"100","9.480374000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"101","9.480447000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"102","9.519269000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"103","9.522026000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"104","9.522029000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"105","9.522096000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"106","9.522097000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"107","9.522662000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"108","9.600570000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"109","9.600646000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"110","9.642622000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"111","9.642628000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"112","9.642765000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"113","9.789964000","ARP",,,,,,,
"114","9.999037000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"115","9.999271000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"116","9.999272000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"117","10.090041000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"118","10.090188000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"119","10.129216000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"120","10.199291000","ARP",,,,,,,
"121","11.428649000","ARP",,,,,,,
"122","12.657449000","ARP",,,,,,,
"123","13.681431000","ARP",,,,,,,
"124","13.886670000","ARP",,,,,,,
"125","14.705734000","ARP",,,,,,,
"126","14.707145000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"127","14.910547000","ARP",,,,,,,
"128","15.115052000","ARP",,,,,,,
"129","15.831862000","ARP",,,,,,,
"130","16.036678000","ARP",,,,,,,
"131","16.241507000","ARP",,,,,,,
"132","17.061421000","ARP",,,,,,,
"133","17.062476000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"134","17.063856000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"135","17.065368000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"136","17.066179000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"137","17.066988000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"138","17.068621000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"139","17.070225000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"140","17.071924000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"141","17.073005000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"142","18.496137000","ARP",,,,,,,
"143","19.006352000","UDP","17","192.168.68.122","192.168.68.255",,,"57621","57621"
"144","19.519374000","ARP",,,,,,,
"145","19.723166000","ARP",,,,,,,
"146","19.927944000","ARP",,,,,,,
"147","19.928028000","ARP",,,,,,,
"148","19.999637000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"149","19.999638000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"150","20.000002000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"151","20.035619000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"152","20.035787000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"153","20.075012000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"154","20.453682000","TLSv1.2","6","192.168.68.126","35.186.227.140","49401","443",,
"155","20.487981000","TLSv1.2","6","35.186.227.140","192.168.68.126","443","49401",,
"156","20.488070000","TCP","6","192.168.68.126","35.186.227.140","49401","443",,
"157","20.747495000","ARP",,,,,,,
"158","21.156730000","ARP",,,,,,,
"159","22.180892000","ARP",,,,,,,
"160","22.385509000","ARP",,,,,,,
"161","23.102499000","ARP",,,,,,,
"162","23.615226000","ARP",,,,,,,
"163","24.433709000","ARP",,,,,,,
"164","24.843560000","ARP",,,,,,,
"165","25.353705000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"166","25.393913000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"167","25.394040000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"168","25.397534000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"169","25.397685000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"170","25.436148000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"171","25.436215000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"172","25.436673000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"173","25.513234000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"174","25.513332000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"175","25.549389000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"176","25.552244000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"177","25.552248000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"178","25.552399000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"179","25.552399000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"180","25.553048000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"181","25.629156000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"182","25.629213000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"183","25.664284000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"184","25.665053000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"185","25.665183000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"186","25.867055000","ARP",,,,,,,
"187","26.891330000","ARP",,,,,,,
"188","27.096043000","ARP",,,,,,,
"189","27.507548000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"190","28.018031000","ARP",,,,,,,
"191","28.325195000","ARP",,,,,,,
"192","28.325242000","ARP",,,,,,,
"193","28.325244000","ARP",,,,,,,
"194","28.325246000","ARP",,,,,,,
"195","28.427795000","ARP",,,,,,,
"196","28.427799000","ARP",,,,,,,
"197","28.427799000","ARP",,,,,,,
"198","28.427800000","ARP",,,,,,,
"199","28.427800000","ARP",,,,,,,
"200","28.529714000","ARP",,,,,,,
"201","28.632204000","ARP",,,,,,,
"202","28.632208000","ARP",,,,,,,
"203","28.632209000","ARP",,,,,,,
"204","28.632386000","ARP",,,,,,,
