frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"1","0.000000000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"2","0.000041000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"3","0.000425000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"4","0.080780000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"5","0.081015000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"6","0.122953000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"7","0.416682000","ARP",,,,,,,
"8","1.440610000","ARP",,,,,,,
"9","1.646070000","ARP",,,,,,,
"10","1.849739000","ARP",,,,,,,
"11","2.669584000","ARP",,,,,,,
"12","3.078709000","ARP",,,,,,,
"13","3.488588000","DHCP","17","0.0.0.0","255.255.255.255",,,"68","67"
"14","3.489019000","DHCP","17","0.0.0.0","255.255.255.255",,,"68","67"
"15","3.693097000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"16","3.693100000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"17","3.694605000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"18","4.102633000","ARP",,,,,,,
"19","4.104837000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"20","4.307410000","ARP",,,,,,,
"21","4.717064000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"22","4.717070000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"23","4.717982000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"24","5.024155000","ARP",,,,,,,
"25","5.229046000","ARP",,,,,,,
"26","5.433897000","MDNS","17","192.168.68.115","224.0.0.251",,,"5353","5353"
"27","5.433901000","MDNS",,,,,,"5353","5353"
"28","5.536846000","ARP",,,,,,,
"29","5.536850000","ARP",,,,,,,
"30","5.741073000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"31","5.741259000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"32","5.742182000","SSDP","17","192.168.68.105","239.255.255.250",,,"53950","1900"
"33","6.252961000","ARP",,,,,,,
"34","6.356737000","IGMPv2","2","192.168.68.115","224.0.0.251",,,,
"35","6.560455000","MDNS",,,,,,"5353","5353"
"36","6.664384000","MDNS","17","192.168.68.101","224.0.0.251",,,"5353","5353"
"37","6.665004000","MDNS",,,,,,"5353","5353"
"38","6.665009000","ARP",,,,,,,
"39","7.072891000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"40","7.073921000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"41","7.075168000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"42","7.076672000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"43","7.078744000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"44","7.080159000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"45","7.082068000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"46","7.082378000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"47","7.084153000","SSDP","17","192.168.68.1","239.255.255.250",,,"49501","1900"
"48","7.273909000","TLSv1.2","6","192.168.68.126","13.107.42.13","49477","443",,
"49","7.274119000","TLSv1.2","6","192.168.68.126","40.77.224.8","49479","443",,
"50","7.274564000","TCP","6","192.168.68.126","13.107.42.13","49477","443",,
"51","7.274583000","TCP","6","192.168.68.126","40.77.224.8","49479","443",,
"52","7.306575000","TCP","6","13.107.42.13","192.168.68.126","443","49477",,
"53","7.306579000","TCP","6","13.107.42.13","192.168.68.126","443","49477",,
"54","7.306579000","TCP","6","13.107.42.13","192.168.68.126","443","49477",,
"55","7.306783000","TCP","6","192.168.68.126","13.107.42.13","49477","443",,
"56","7.334086000","TCP","6","40.77.224.8","192.168.68.126","443","49479",,
"57","7.334089000","TCP","6","40.77.224.8","192.168.68.126","443","49479",,
"58","7.334173000","TCP","6","192.168.68.126","40.77.224.8","49479","443",,
"59","7.686896000","ARP",,,,,,,
"60","7.723959000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"61","7.767784000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"62","7.767788000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"63","7.767876000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"64","7.768439000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"65","7.849195000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"66","7.849266000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"67","7.889885000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"68","7.889893000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"69","7.889895000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"70","7.890033000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"71","7.890034000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"72","7.891207000","ARP",,,,,,,
"73","7.891295000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"74","7.973011000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"75","7.973087000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"76","8.008497000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"77","8.008502000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"78","8.008572000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"79","8.710660000","ARP",,,,,,,
"80","9.018360000","UDP","17","192.168.68.122","192.168.68.255",,,"57621","57621"
"81","9.120598000","ARP",,,,,,,
"82","9.427637000","MDNS","17","192.168.68.115","224.0.0.251",,,"5353","5353"
"83","9.427640000","MDNS",,,,,,"5353","5353"
"84","9.998826000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"85","9.999139000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"86","9.999313000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"87","10.082729000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"88","10.082792000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"89","10.124287000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"90","10.143800000","ARP",,,,,,,
"91","10.349431000","ARP",,,,,,,
"92","11.168781000","ARP",,,,,,,
"93","11.577849000","ARP",,,,,,,
"94","11.987649000","SSDP","17","192.168.68.128","239.255.255.250",,,"54923","1900"
"95","12.499596000","ARP",,,,,,,
"96","12.806739000","ARP",,,,,,,
"97","13.011699000","SSDP","17","192.168.68.128","239.255.255.250",,,"54923","1900"
"98","13.216691000","MDNS","17","192.168.68.115","224.0.0.251",,,"5353","5353"
"99","13.216695000","MDNS",,,,,,"5353","5353"
"100","13.318682000","ARP",,,,,,,
"101","13.523515000","ARP",,,,,,,
"102","13.830791000","ARP",,,,,,,
"103","14.030419000","DNS","17","192.168.68.126","71.10.216.1",,,"65421","53"
"104","14.030884000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"105","14.034895000","ARP",,,,,,,
"106","14.035404000","SSDP","17","192.168.68.128","239.255.255.250",,,"54923","1900"
"107","14.067473000","DNS","17","71.10.216.1","192.168.68.126",,,"53","65421"
"108","14.097176000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"109","14.097286000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"110","14.097822000","TLSv1","6","192.168.68.126","52.114.128.75","49489","443",,
"111","14.162938000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"112","14.162975000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"113","14.162976000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"114","14.162978000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"115","14.162979000","TLSv1.2","6","52.114.128.75","192.168.68.126","443","49489",,
"116","14.163075000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"117","14.163075000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"118","14.163076000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"119","14.163151000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"120","14.173204000","TLSv1.2","6","192.168.68.126","52.114.128.75","49489","443",,
"121","14.236134000","TLSv1.2","6","52.114.128.75","192.168.68.126","443","49489",,
"122","14.236292000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"123","14.237748000","TLSv1.2","6","192.168.68.126","52.114.128.75","49489","443",,
"124","14.240837000","MDNS","17","192.168.68.115","224.0.0.251",,,"5353","5353"
"125","14.240853000","MDNS",,,,,,"5353","5353"
"126","14.242261000","MDNS","17","192.168.68.101","224.0.0.251",,,"5353","5353"
"127","14.243538000","MDNS",,,,,,"5353","5353"
"128","14.298503000","TLSv1.2","6","52.114.128.75","192.168.68.126","443","49489",,
"129","14.298632000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"130","14.299593000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"131","14.299595000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"132","14.299596000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"133","14.491828000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"134","14.562222000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"135","14.562294000","TLSv1.2","6","192.168.68.126","52.114.128.75","49489","443",,
"136","14.822184000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"137","14.854240000","ARP",,,,,,,
"138","14.892826000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"139","14.892897000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"140","14.955362000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"141","14.955538000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"142","14.958051000","ARP",,,,,,,
"143","15.017076000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"144","15.017155000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"145","15.017156000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"146","15.059197000","SSDP","17","192.168.68.128","239.255.255.250",,,"54923","1900"
"147","15.080797000","TCP","6","52.114.128.75","192.168.68.126","443","49489",,
"148","15.093081000","TLSv1.2","6","52.114.128.75","192.168.68.126","443","49489",,
"149","15.093148000","TCP","6","192.168.68.126","52.114.128.75","49489","443",,
"150","15.161423000","ARP",,,,,,,
"151","15.982470000","ARP",,,,,,,
"152","16.186412000","ARP",,,,,,,
"153","16.390821000","ARP",,,,,,,
"154","16.905069000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"155","17.210023000","ARP",,,,,,,
"156","17.210028000","MDNS","17","192.168.68.115","224.0.0.251",,,"5353","5353"
"157","17.210497000","MDNS",,,,,,"5353","5353"
"158","17.414780000","ARP",,,,,,,
"159","17.619645000","ARP",,,,,,,
"160","18.438909000","ARP",,,,,,,
"161","18.848505000","ARP",,,,,,,
"162","19.999453000","SSDP","17","192.168.68.126","239.255.255.250",,,"53529","1900"
"163","19.999503000","MDNS","17","192.168.68.126","224.0.0.251",,,"65494","5353"
"164","19.999768000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"165","20.096856000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"166","20.096996000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"167","20.135602000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"168","21.823153000","DNS","17","192.168.68.126","71.10.216.1",,,"56739","53"
"169","21.824293000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"170","22.036409000","DNS","17","71.10.216.1","192.168.68.126",,,"53","56739"
"171","22.036414000","TCP","6","52.24.43.143","192.168.68.126","443","49490",,
"172","22.036534000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"173","22.037382000","TLSv1","6","192.168.68.126","52.24.43.143","49490","443",,
"174","22.222408000","TCP","6","52.24.43.143","192.168.68.126","443","49490",,
"175","22.222411000","TLSv1.2","6","52.24.43.143","192.168.68.126","443","49490",,
"176","22.222412000","TLSv1.2","6","52.24.43.143","192.168.68.126","443","49490",,
"177","22.222413000","TLSv1.2","6","52.24.43.143","192.168.68.126","443","49490",,
"178","22.222492000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"179","22.222492000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"180","22.229887000","TLSv1.2","6","192.168.68.126","52.24.43.143","49490","443",,
"181","22.398213000","TLSv1.2","6","52.24.43.143","192.168.68.126","443","49490",,
"182","22.398297000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"183","22.399453000","TLSv1.2","6","192.168.68.126","52.24.43.143","49490","443",,
"184","22.432358000","SSDP","17","192.168.68.122","239.255.255.250",,,"52692","1900"
"185","22.432401000","ARP",,,,,,,
"186","22.579915000","TLSv1.2","6","52.24.43.143","192.168.68.126","443","49490",,
"187","22.580106000","TCP","6","192.168.68.126","52.24.43.143","49490","443",,
"188","22.587237000","DNS","17","192.168.68.126","71.10.216.1",,,"59862","53"
"189","22.760562000","DNS","17","71.10.216.1","192.168.68.126",,,"53","59862"
"190","22.763047000","DNS","17","192.168.68.126","71.10.216.1",,,"60749","53"
"191","22.764371000","DNS","17","192.168.68.126","71.10.216.1",,,"59919","53"
"192","22.765503000","DNS","17","192.168.68.126","71.10.216.1",,,"55900","53"
"193","22.765598000","DNS","17","192.168.68.126","71.10.216.1",,,"50371","53"
"194","22.801230000","DNS","17","71.10.216.1","192.168.68.126",,,"53","60749"
"195","22.801235000","DNS","17","71.10.216.1","192.168.68.126",,,"53","59919"
"196","22.801236000","DNS","17","71.10.216.1","192.168.68.126",,,"53","50371"
"197","22.801238000","DNS","17","71.10.216.1","192.168.68.126",,,"53","55900"
"198","22.806035000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"199","22.940309000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"200","22.940314000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"201","22.940426000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"202","22.940959000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"203","23.092640000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"204","23.092714000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"205","23.128564000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"206","23.131789000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"207","23.131790000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"208","23.131834000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"209","23.131872000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"210","23.132176000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"211","23.274554000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"212","23.274630000","TLSv1.2","6","192.168.68.126","149.149.44.2","55690","443",,
"213","23.311184000","TCP","6","149.149.44.2","192.168.68.126","443","55690",,
"214","23.312463000","TLSv1.2","6","149.149.44.2","192.168.68.126","443","55690",,
"215","23.312673000","TCP","6","192.168.68.126","149.149.44.2","55690","443",,
"216","23.456180000","SSDP","17","192.168.68.122","239.255.255.250",,,"52692","1900"
"217","23.456247000","ARP",,,,,,,
"218","23.661661000","ARP",,,,,,,
"219","24.481204000","ARP",,,,,,,
"220","24.685260000","ARP",,,,,,,
"221","24.890030000","ARP",,,,,,,
"222","25.709247000","ARP",,,,,,,
"223","26.118796000","ARP",,,,,,,
"224","26.940161000","ARP",,,,,,,
"225","26.940228000","ARP",,,,,,,
"226","27.348037000","ARP",,,,,,,
"227","27.933432000","TLSv1.2","6","192.168.68.126","17.248.241.164","49486","443",,
"228","27.933913000","TCP","6","192.168.68.126","17.248.241.164","49486","443",,
"229","27.995603000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"230","27.995682000","TCP","6","192.168.68.126","17.248.241.164","49486","443",,
"231","27.996907000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
"232","27.996911000","TCP","6","17.248.241.164","192.168.68.126","443","49486",,
