frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"1","0.000000000","ARP",,,,,,,
"2","0.307032000","ARP",,,,,,,
"3","1.023898000","ARP",,,,,,,
"4","1.228380000","ARP",,,,,,,
"5","1.436394000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"6","1.536100000","ARP",,,,,,,
"7","1.774322000","TLSv1.2","6","192.168.68.126","52.114.159.112","55358","443",,
"8","1.774700000","TCP","6","192.168.68.126","52.114.159.112","55358","443",,
"9","1.779635000","DNS","17","192.168.68.126","71.10.216.1",,,"60389","53"
"10","1.780159000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"11","1.780906000","TLSv1.2","6","192.168.68.126","34.192.73.106","55352","443",,
"12","1.781040000","TLSv1.2","6","192.168.68.126","34.192.73.106","55352","443",,
"13","1.813194000","DNS","17","71.10.216.1","192.168.68.126",,,"53","60389"
"14","1.825079000","TCP","6","34.192.73.106","192.168.68.126","443","55352",,
"15","1.829026000","TLSv1.2","6","34.192.73.106","192.168.68.126","443","55352",,
"16","1.829157000","TCP","6","192.168.68.126","34.192.73.106","55352","443",,
"17","1.856339000","TCP","6","52.114.159.112","192.168.68.126","443","55358",,
"18","1.856343000","TCP","6","52.114.159.112","192.168.68.126","443","55358",,
"19","1.856461000","TCP","6","192.168.68.126","52.114.159.112","55358","443",,
"20","1.857115000","TCP","6","52.114.159.32","192.168.68.126","443","55361",,
"21","1.857284000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"22","1.857964000","TLSv1","6","192.168.68.126","52.114.159.32","55361","443",,
"23","1.940231000","TCP","6","52.114.159.32","192.168.68.126","443","55361",,
"24","1.940239000","TCP","6","52.114.159.32","192.168.68.126","443","55361",,
"25","1.940240000","TCP","6","52.114.159.32","192.168.68.126","443","55361",,
"26","1.940241000","TCP","6","52.114.159.32","192.168.68.126","443","55361",,
"27","1.940242000","TLSv1.2","6","52.114.159.32","192.168.68.126","443","55361",,
"28","1.940333000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"29","1.940334000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"30","1.940334000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"31","1.940417000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"32","1.948858000","TLSv1.2","6","192.168.68.126","52.114.159.32","55361","443",,
"33","2.031413000","TLSv1.2","6","52.114.159.32","192.168.68.126","443","55361",,
"34","2.031487000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"35","2.034005000","TLSv1.2","6","192.168.68.126","52.114.159.32","55361","443",,
"36","2.113421000","TLSv1.2","6","52.114.159.32","192.168.68.126","443","55361",,
"37","2.113585000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"38","2.114831000","TLSv1.2","6","192.168.68.126","52.114.159.32","55361","443",,
"39","2.192000000","TLSv1.2","6","52.114.159.32","192.168.68.126","443","55361",,
"40","2.192218000","TCP","6","192.168.68.126","52.114.159.32","55361","443",,
"41","2.251966000","ARP",,,,,,,
"42","2.560034000","ARP",,,,,,,
"43","2.764389000","ARP",,,,,,,
"44","2.929222000","TLSv1.2","6","192.168.68.126","162.159.135.234","55115","443",,
"45","2.968807000","UDP","17","192.168.68.105","192.168.68.255",,,"57621","57621"
"46","2.975804000","TLSv1.2","6","162.159.135.234","192.168.68.126","443","55115",,
"47","2.975895000","TCP","6","192.168.68.126","162.159.135.234","55115","443",,
"48","3.278042000","TLSv1.2","6","162.159.135.234","192.168.68.126","443","55115",,
"49","3.278122000","TCP","6","192.168.68.126","162.159.135.234","55115","443",,
"50","3.282119000","TLSv1.2","6","162.159.135.234","192.168.68.126","443","55115",,
"51","3.282255000","TCP","6","192.168.68.126","162.159.135.234","55115","443",,
"52","3.482196000","ARP",,,,,,,
"53","3.993614000","ARP",,,,,,,
"54","5.017506000","ARP",,,,,,,
"55","5.221977000","ARP",,,,,,,
"56","5.345916000","TLSv1.2","6","192.168.68.126","54.82.161.19","55082","443",,
"57","5.346283000","TLSv1.2","6","192.168.68.126","54.82.161.19","55092","443",,
"58","5.346582000","TLSv1.2","6","192.168.68.126","54.82.161.19","55094","443",,
"59","5.346822000","TLSv1.2","6","192.168.68.126","54.82.161.19","55100","443",,
"60","5.347016000","TLSv1.2","6","192.168.68.126","54.82.161.19","55103","443",,
"61","5.391686000","TLSv1.2","6","54.82.161.19","192.168.68.126","443","55094",,
"62","5.391760000","TCP","6","192.168.68.126","54.82.161.19","55094","443",,
"63","5.396644000","TLSv1.2","6","54.82.161.19","192.168.68.126","443","55100",,
"64","5.396648000","TLSv1.2","6","54.82.161.19","192.168.68.126","443","55103",,
"65","5.396649000","TLSv1.2","6","54.82.161.19","192.168.68.126","443","55082",,
"66","5.396649000","TLSv1.2","6","54.82.161.19","192.168.68.126","443","55092",,
"67","5.396742000","TCP","6","192.168.68.126","54.82.161.19","55100","443",,
"68","5.396743000","TCP","6","192.168.68.126","54.82.161.19","55103","443",,
"69","5.396743000","TCP","6","192.168.68.126","54.82.161.19","55082","443",,
"70","5.396743000","TCP","6","192.168.68.126","54.82.161.19","55092","443",,
"71","5.938914000","ARP",,,,,,,
"72","6.451162000","ARP",,,,,,,
"73","6.741582000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"74","6.825857000","TCP","6","64.4.54.254","192.168.68.126","443","55362",,
"75","6.825969000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"76","6.826464000","TLSv1","6","192.168.68.126","64.4.54.254","55362","443",,
"77","6.901936000","TCP","6","64.4.54.254","192.168.68.126","443","55362",,
"78","6.901940000","TCP","6","64.4.54.254","192.168.68.126","443","55362",,
"79","6.901941000","TLSv1.2","6","64.4.54.254","192.168.68.126","443","55362",,
"80","6.902036000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"81","6.902037000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"82","6.902170000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"83","6.902995000","TLSv1.2","6","192.168.68.126","64.4.54.254","55362","443",,
"84","6.975492000","TLSv1.2","6","64.4.54.254","192.168.68.126","443","55362",,
"85","6.975679000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"86","6.978075000","TCP","6","192.168.68.126","64.4.54.254","55362","443",,
"87","6.978076000","TLSv1.2","6","192.168.68.126","64.4.54.254","55362","443",,
"88","7.054999000","TCP","6","64.4.54.254","192.168.68.126","443","55362",,
"89","7.065123000","LLC",,,,,,,
"90","7.096684000","TLSv1.2","6","64.4.54.254","192.168.68.126","443","55362",,
