frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"1","0.000000000","TLSv1","6","13.107.136.9","192.168.68.126","443","55895",,
"2","0.000019000","TLSv1","6","13.107.136.9","192.168.68.126","443","55895",,
"3","0.000088000","TCP","6","192.168.68.126","13.107.136.9","55895","443",,
"4","0.003837000","TCP","6","192.168.68.126","13.107.136.9","55895","443",,
"5","0.003838000","TLSv1","6","192.168.68.126","13.107.136.9","55895","443",,
"6","0.047709000","TCP","6","13.107.136.9","192.168.68.126","443","55895",,
"7","0.129940000","TLSv1","6","13.107.136.9","192.168.68.126","443","55895",,
"8","0.129949000","TLSv1","6","13.107.136.9","192.168.68.126","443","55895",,
"9","0.130162000","TCP","6","192.168.68.126","13.107.136.9","55895","443",,
"10","0.355546000","ARP",,,,,,,
"11","0.662625000","ARP",,,,,,,
"12","0.662628000","UDP","17","192.168.68.122","192.168.68.255",,,"57621","57621"
"13","0.867188000","ARP",,,,,,,
"14","1.686334000","ARP",,,,,,,
"15","2.096189000","ARP",,,,,,,
"16","3.324999000","ARP",,,,,,,
"17","3.427378000","MDNS","17","192.168.68.116","224.0.0.251",,,"5353","5353"
"18","3.736440000","UDP","17","192.168.68.105","192.168.68.255",,,"889","889"
"19","3.765224000","DNS","17","192.168.68.126","71.10.216.1",,,"56679","53"
"20","3.765765000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"21","3.809498000","DNS","17","71.10.216.1","192.168.68.126",,,"53","56679"
"22","3.809508000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
"23","3.809725000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"24","3.811198000","TLSv1","6","192.168.68.126","52.114.133.61","55897","443",,
"25","3.854975000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
"26","3.854984000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
"27","3.855161000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"28","3.855314000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"29","3.856194000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
"30","3.856198000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
"31","3.856199000","TLSv1.2","6","52.114.133.61","192.168.68.126","443","55897",,
"32","3.856315000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"33","3.856315000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"34","3.856389000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"35","3.865882000","TLSv1.2","6","192.168.68.126","52.114.133.61","55897","443",,
"36","3.917494000","TLSv1.2","6","52.114.133.61","192.168.68.126","443","55897",,
"37","3.917630000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"38","3.918788000","TLSv1.2","6","192.168.68.126","52.114.133.61","55897","443",,
"39","3.959470000","TLSv1.2","6","52.114.133.61","192.168.68.126","443","55897",,
"40","3.959611000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"41","3.960721000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"42","3.960722000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"43","3.960723000","TCP","6","192.168.68.126","52.114.133.61","55897","443",,
"44","3.960724000","TLSv1.2","6","192.168.68.126","52.114.133.61","55897","443",,
"45","4.004570000","TCP","6","52.114.133.61","192.168.68.126","443","55897",,
